name,season,age,state,elim,is_censored,sex,region,coast,school,agegroup
Dan Barry,Panama,51,MA,15,0,Male,Northeast,East Coast,Old School,Old
Nick Stanbury,Panama,25,AZ,18,0,Male,West,Not Coast,Old School,Young
Austin Carty,Panama,24,NC,21,0,Male,South,East Coast,Old School,Young
Sally Schumann,Panama,27,IL,24,0,Female,Midwest,Not Coast,Old School,Young
Bruce Kanegai,Panama,57,CA,25,1,Male,West,West Coast,Old School,Old
Courtney Marit,Panama,31,CA,30,0,Female,West,West Coast,Old School,Young
Shane Powers,Panama,34,CA,33,0,Male,West,West Coast,Old School,Young
Cirie Fields,Panama,35,SC,36,0,Female,South,East Coast,Old School,Young
Terry Deitz,Panama,46,CT,38,0,Male,Northeast,East Coast,Old School,Middle
Danielle DiLorenzo,Panama,24,FL,39,1,Female,South,East Coast,Old School,Young
Aras Baskauskas,Panama,24,CA,39,1,Male,West,West Coast,Old School,Young
Sekou Bunch,Cook Islands,45,CA,3,0,Male,West,West Coast,Old School,Middle
Billy Garcia,Cook Islands,36,NY,6,0,Male,Northeast,East Coast,Old School,Middle
Cecilia Mansilla,Cook Islands,29,CA,8,0,Female,West,West Coast,Old School,Young
J.P. Calderon,Cook Islands,30,CA,11,0,Male,West,West Coast,Old School,Young
Stephannie Favor,Cook Islands,35,SC,14,0,Female,South,East Coast,Old School,Young
Cao Boi Bui,Cook Islands,42,VA,15,0,Male,South,East Coast,Old School,Middle
Cristina Coria,Cook Islands,35,CA,15,0,Female,West,West Coast,Old School,Young
Jessica Smith,Cook Islands,27,CA,18,0,Female,West,West Coast,Old School,Young
Brad Virata,Cook Islands,29,CA,21,0,Male,West,West Coast,Old School,Young
Rebecca Borman,Cook Islands,34,NY,24,0,Female,Northeast,East Coast,Old School,Young
Jenny Guzon-Bae,Cook Islands,36,IL,24,0,Female,Midwest,Not Coast,Old School,Middle
Nate Gonzalez,Cook Islands,26,CA,27,0,Male,West,West Coast,Old School,Young
Candice Woodcock,Cook Islands,23,NC,30,0,Female,South,East Coast,Old School,Young
Jonathan Penner,Cook Islands,44,CA,33,0,Male,West,West Coast,Old School,Middle
Parvati Shallow,Cook Islands,23,CA,36,0,Female,West,West Coast,Old School,Young
Adam Gentry,Cook Islands,28,CA,37,0,Male,West,West Coast,Old School,Young
Sundra Oakley,Cook Islands,31,CA,38,0,Female,West,West Coast,Old School,Young
Becky Lee,Cook Islands,28,DC,39,1,Female,South,Not Coast,Old School,Young
Ozzy Lusth,Cook Islands,25,CA,39,1,Male,West,West Coast,Old School,Young
Yul Kwon,Cook Islands,31,CA,39,1,Male,West,West Coast,Old School,Young
Jessica deBen,Fiji,27,CA,3,0,Female,West,West Coast,Old School,Young
Erica Durousseau,Fiji,27,LA,6,0,Female,South,Not Coast,Old School,Young
Sylvia Kwan,Fiji,52,CA,8,0,Female,West,West Coast,Old School,Old
Gary Stritesky,Fiji,55,MN,10,1,Male,Midwest,Not Coast,Old School,Old
Liliana Gomez,Fiji,25,CA,11,0,Female,West,West Coast,Old School,Young
Rita Verreos,Fiji,38,TX,14,0,Female,South,Not Coast,Old School,Middle
Anthony Robinson,Fiji,32,CA,16,0,Male,West,West Coast,Old School,Young
Rocky Reid,Fiji,28,CA,19,0,Male,West,West Coast,Old School,Young
Lisi Linares,Fiji,36,CA,21,0,Female,West,West Coast,Old School,Middle
Michelle Yi,Fiji,23,OH,24,0,Female,Midwest,Not Coast,Old School,Young
Edgardo Rivera,Fiji,28,FL,27,0,Male,South,East Coast,Old School,Young
Mookie Lee,Fiji,25,IL,30,0,Male,Midwest,Not Coast,Old School,Young
Alex Angarita,Fiji,28,CA,33,0,Male,West,West Coast,Old School,Young
Stacy Kimball,Fiji,27,CO,36,0,Female,West,Not Coast,Old School,Young
Boo Bernis,Fiji,34,LA,37,0,Male,South,Not Coast,Old School,Young
Yau-Man Chan,Fiji,54,CA,38,0,Male,West,West Coast,Old School,Old
Cassandra Franklin,Fiji,42,CA,39,1,Female,West,West Coast,Old School,Middle
Dreamz Herd,Fiji,25,NC,39,1,Male,South,East Coast,Old School,Young
Earl Cole,Fiji,35,CA,39,1,Male,West,West Coast,Old School,Young
Chicken Morris,China,47,VA,3,0,Male,South,East Coast,Old School,Middle
Ashley Massaro,China,28,NY,6,0,Female,Northeast,East Coast,Old School,Young
Leslie Nease,China,38,SC,9,0,Female,South,East Coast,Old School,Middle
Dave Cruser,China,37,CA,12,0,Male,West,West Coast,Old School,Middle
Aaron Reisberger,China,32,CA,15,0,Male,West,West Coast,Old School,Young
Sherea Lloyd,China,26,GA,18,0,Female,South,East Coast,Old School,Young
Jaime Dugan,China,22,SC,21,0,Female,South,East Coast,Old School,Young
Jean-Robert Bellande,China,36,NV,24,0,Male,West,Not Coast,Old School,Middle
Frosti Zernow,China,20,IL,27,0,Male,Midwest,Not Coast,Old School,Young
James Clement,China,30,LA,30,0,Male,South,Not Coast,Old School,Young
Erik Huffman,China,26,TN,33,0,Male,South,Not Coast,Old School,Young
Peih-Gee Law,China,29,CA,36,0,Female,West,West Coast,Old School,Young
Denise Martin,China,40,MA,38,0,Female,Northeast,East Coast,Old School,Middle
Amanda Kimmel,China,22,MT,39,1,Female,West,Not Coast,Old School,Young
Courtney Yates,China,26,NY,39,1,Female,Northeast,East Coast,Old School,Young
Todd Herzog,China,22,UT,39,1,Male,West,Not Coast,Old School,Young
Jon Dalton,Micronesia,33,VA,3,0,Male,South,East Coast,Old School,Young
Mary Sartain,Micronesia,29,CA,6,0,Female,West,West Coast,Old School,Young
Yau-Man Chan,Micronesia,55,CA,8,0,Male,West,West Coast,Old School,Old
Mikey Bortone,Micronesia,34,CA,11,0,Male,West,West Coast,Old School,Young
Joel Anderson,Micronesia,32,AZ,14,0,Male,West,Not Coast,Old School,Young
Jonathan Penner,Micronesia,45,CA,15,1,Male,West,West Coast,Old School,Middle
Chet Welch,Micronesia,48,PA,17,0,Male,Northeast,Not Coast,Old School,Middle
Kathy Sleckman,Micronesia,45,IL,19,1,Female,Midwest,Not Coast,Old School,Middle
Tracy Hughes-Wolf,Micronesia,43,VA,20,0,Female,South,East Coast,Old School,Middle
Ami Cusack,Micronesia,34,CO,21,0,Female,West,Not Coast,Old School,Young
Eliza Orlins,Micronesia,25,NY,24,0,Female,Northeast,East Coast,Old School,Young
Ozzy Lusth,Micronesia,26,CA,27,0,Male,West,West Coast,Old School,Young
Jason Siska,Micronesia,22,IL,30,0,Male,Midwest,Not Coast,Old School,Young
James Clement,Micronesia,30,LA,31,1,Male,South,Not Coast,Old School,Young
Alexis Jones,Micronesia,24,CA,33,0,Female,West,West Coast,Old School,Young
Erik Reichenbach,Micronesia,22,MI,36,0,Male,Midwest,Not Coast,Old School,Young
Natalie Bolton,Micronesia,32,CA,37,0,Female,West,West Coast,Old School,Young
Cirie Fields,Micronesia,37,CT,38,0,Female,Northeast,East Coast,Old School,Middle
Amanda Kimmel,Micronesia,23,CA,39,1,Female,West,West Coast,Old School,Young
Parvati Shallow,Micronesia,25,CA,39,1,Female,West,West Coast,Old School,Young
Michelle Chase,Gabon,24,CA,3,0,Female,West,West Coast,Old School,Young
Gillian Larson,Gabon,61,CA,6,0,Female,West,West Coast,Old School,Old
Paloma Soto-Castillo,Gabon,23,CA,9,0,Female,West,West Coast,Old School,Young
Jacquie Berg,Gabon,25,CA,12,0,Female,West,West Coast,Old School,Young
G.C. Brown,Gabon,25,OR,15,0,Male,West,West Coast,Old School,Young
Kelly Czarnecki,Gabon,22,IL,18,0,Female,Midwest,Not Coast,Old School,Young
Ace Gordon,Gabon,27,FL,21,0,Male,South,East Coast,Old School,Young
Dan Kay,Gabon,32,MA,21,0,Male,Northeast,East Coast,Old School,Young
Marcus Lehman,Gabon,28,GA,24,0,Male,South,East Coast,Old School,Young
Charlie Herschel,Gabon,29,NY,27,0,Male,Northeast,East Coast,Old School,Young
Randy Bailey,Gabon,49,MO,30,0,Male,Midwest,Not Coast,Old School,Middle
Corinne Kaplan,Gabon,29,CA,33,0,Female,West,West Coast,Old School,Young
Crystal Cox,Gabon,29,NC,36,0,Female,South,East Coast,Old School,Young
Ken Hoang,Gabon,22,CA,37,0,Male,West,West Coast,Old School,Young
Matty Whitmore,Gabon,29,CA,38,0,Male,West,West Coast,Old School,Young
Sugar Kiper,Gabon,29,NY,39,1,Female,Northeast,East Coast,Old School,Young
Susie Smith,Gabon,47,IA,39,1,Female,Midwest,Not Coast,Old School,Middle
Bob Crowley,Gabon,57,ME,39,1,Male,Northeast,East Coast,Old School,Old
Carolina Eastwood,Tocantins,26,CA,3,0,Female,West,West Coast,Old School,Young
Candace Smith,Tocantins,31,OH,6,0,Female,Midwest,Not Coast,Old School,Young
Jerry Sims,Tocantins,49,SC,9,0,Male,South,East Coast,Old School,Middle
Sandy Burgin,Tocantins,53,KY,12,0,Female,South,Not Coast,Old School,Old
Spencer Duhm,Tocantins,18,FL,15,0,Male,South,East Coast,Old School,Young
Sydney Wheeler,Tocantins,24,NC,18,0,Female,South,East Coast,Old School,Young
Joe Dowdle,Tocantins,26,TX,20,1,Male,South,Not Coast,Old School,Young
Brendan Synnott,Tocantins,30,NY,24,0,Male,Northeast,East Coast,Old School,Young
