name,season,age,state,elim,is_censored,is_male
Dreamz Herd,Fiji,25,NC,39,1,1
Earl Cole,Fiji,35,CA,39,1,1
Chicken Morris,China,47,VA,3,0,1
Ashley Massaro,China,28,NY,6,0,0
Leslie Nease,China,38,SC,9,0,0
Dave Cruser,China,37,CA,12,0,1
Aaron Reisberger,China,32,CA,15,0,1
Sherea Lloyd,China,26,GA,18,0,0
Jaime Dugan,China,22,SC,21,0,0
Jean-Robert Bellande,China,36,NV,24,0,1
Frosti Zernow,China,20,IL,27,0,1
James Clement,China,30,LA,30,0,1
Erik Huffman,China,26,TN,33,0,1
Peih-Gee Law,China,29,CA,36,0,0
Denise Martin,China,40,MA,38,0,0
Amanda Kimmel,China,22,MT,39,1,0
Courtney Yates,China,26,NY,39,1,0
Todd Herzog,China,22,UT,39,1,1
Jon Dalton,Micronesia,33,VA,3,0,1
Mary Sartain,Micronesia,29,CA,6,0,0
Yau-Man Chan,Micronesia,55,CA,8,0,1
Mikey Bortone,Micronesia,34,CA,11,0,1
Joel Anderson,Micronesia,32,AZ,14,0,1
Jonathan Penner,Micronesia,45,CA,15,1,1
Chet Welch,Micronesia,48,PA,17,0,1
Kathy Sleckman,Micronesia,45,IL,19,1,0
Tracy Hughes-Wolf,Micronesia,43,VA,20,0,0
Ami Cusack,Micronesia,34,CO,21,0,0
Eliza Orlins,Micronesia,25,NY,24,0,0
Ozzy Lusth,Micronesia,26,CA,27,0,1
Jason Siska,Micronesia,22,IL,30,0,1
James Clement,Micronesia,30,LA,31,1,1
Alexis Jones,Micronesia,24,CA,33,0,0
Erik Reichenbach,Micronesia,22,MI,36,0,1
Natalie Bolton,Micronesia,32,CA,37,0,0
Cirie Fields,Micronesia,37,CT,38,0,0
Amanda Kimmel,Micronesia,23,CA,39,1,0
Parvati Shallow,Micronesia,25,CA,39,1,0
Michelle Chase,Gabon,24,CA,3,0,0
Gillian Larson,Gabon,61,CA,6,0,0
Paloma Soto-Castillo,Gabon,23,CA,9,0,0
Jacquie Berg,Gabon,25,CA,12,0,0
G.C. Brown,Gabon,25,OR,15,0,1
Kelly Czarnecki,Gabon,22,IL,18,0,0
Ace Gordon,Gabon,27,FL,21,0,1
Dan Kay,Gabon,32,MA,21,0,1
Marcus Lehman,Gabon,28,GA,24,0,1
Charlie Herschel,Gabon,29,NY,27,0,1
Randy Bailey,Gabon,49,MO,30,0,1
Corinne Kaplan,Gabon,29,CA,33,0,0
Crystal Cox,Gabon,29,NC,36,0,0
Ken Hoang,Gabon,22,CA,37,0,1
Matty Whitmore,Gabon,29,CA,38,0,1
Sugar Kiper,Gabon,29,NY,39,1,0
Susie Smith,Gabon,47,IA,39,1,0
Bob Crowley,Gabon,57,ME,39,1,1
Carolina Eastwood,Tocantins,26,CA,3,0,0
Candace Smith,Tocantins,31,OH,6,0,0
Jerry Sims,Tocantins,49,SC,9,0,1
Sandy Burgin,Tocantins,53,KY,12,0,0
Spencer Duhm,Tocantins,18,FL,15,0,1
Sydney Wheeler,Tocantins,24,NC,18,0,0
Joe Dowdle,Tocantins,26,TX,20,1,1
Brendan Synnott,Tocantins,30,NY,24,0,1
Tyson Apostol,Tocantins,29,UT,27,0,1
Sierra Reed,Tocantins,23,CA,30,0,0
Debbie Beebe,Tocantins,46,AL,33,0,0
Coach Wade,Tocantins,37,MO,36,0,1
Taj Johnson-George,Tocantins,37,TN,37,0,0
Erinn Lobdell,Tocantins,26,WI,38,0,0
Stephen Fishbach,Tocantins,29,NY,39,1,1
J.T. Thomas,Tocantins,24,AL,39,1,1
Marisa Calihan,Samoa,26,OH,3,0,0
Mike Borassi,Samoa,62,CA,5,1,1
Betsy Bolan,Samoa,48,NH,6,0,0
Ben Browning,Samoa,28,CA,8,0,1
Yasmin Giles,Samoa,33,CA,11,0,0
Ashley Trainer,Samoa,22,MN,14,0,0
Russell Swan,Samoa,42,PA,15,1,1
Liz Kim,Samoa,33,NY,18,0,0
Erik Cardona,Samoa,28,CA,21,0,1
Kelly Sharbaugh,Samoa,25,CA,24,0,0
Laura Morett,Samoa,39,OR,27,0,0
John Fincher,Samoa,25,CA,30,0,1
Dave Ball,Samoa,38,CA,31,0,1
Monica Padilla,Samoa,25,CA,33,0,0
Shambo Waters,Samoa,45,WA,36,0,0
